problem_text,answer,answer_type,standard_code,grade_level,difficulty,hints,solution_steps,topic,source_reference,license
"Find the hypotenuse if legs are 5 and 12","13","integer","8.G.B.7","8","2","Use Pythagorean theorem|a² + b² = c²","5² + 12² = c²|25 + 144 = c²|169 = c²|c = 13","Pythagorean Theorem","Public Domain","public_domain"
"A right triangle has hypotenuse 10 and one leg 6. Find the other leg.","8","integer","8.G.B.7","8","3","Use a² + b² = c²|Solve for missing leg","6² + b² = 10²|36 + b² = 100|b² = 64|b = 8","Pythagorean Theorem","Public Domain","public_domain"
"Find the distance between points (0,0) and (6,8)","10","integer","8.G.B.7","8","3","Use distance formula|Or Pythagorean theorem","Horizontal: 6|Vertical: 8|d² = 6² + 8²|d² = 100|d = 10","Pythagorean Theorem","Public Domain","public_domain"
"In the expression 4x² + 3x - 7, what is the constant term?","-7","integer","A.SSE.A.1","9","1","The constant has no variable|It's the number alone","4x² + 3x - 7|Constant term = -7","Interpreting Expressions","Public Domain","public_domain"
"In 5x³ - 2x² + x, what is the coefficient of x²?","-2","integer","A.SSE.A.1","9","2","Coefficient is number in front|Of x² term","5x³ - 2x² + x|Coefficient of x² is -2","Interpreting Expressions","Public Domain","public_domain"
"How many terms are in 3x² + 5x - 2?","3","integer","A.SSE.A.1","9","1","Count expressions separated by + or -|3x², 5x, -2","3x² + 5x - 2|Three terms: 3x², 5x, -2","Interpreting Expressions","Public Domain","public_domain"
"Rewrite x² - 9 as a product of two factors","(x+3)(x-3)","expression","A.SSE.A.2","9","2","Recognize difference of squares|a² - b² = (a+b)(a-b)","x² - 9 = x² - 3²|= (x+3)(x-3)|Difference of squares","Expression Structure","Public Domain","public_domain"
"Factor: x² + 5x + 6","(x+2)(x+3)","expression","A.SSE.B.3","9","2","Find two numbers that multiply to 6|And add to 5","Need: product = 6, sum = 5|2 × 3 = 6, 2 + 3 = 5|= (x+2)(x+3)","Factoring Quadratics","Public Domain","public_domain"
"Factor: x² - 7x + 12","(x-3)(x-4)","expression","A.SSE.B.3","9","2","Find factors of 12|That add to -7","Need: product = 12, sum = -7|-3 × -4 = 12, -3 + -4 = -7|= (x-3)(x-4)","Factoring Quadratics","Public Domain","public_domain"
"Factor: x² - 16","(x+4)(x-4)","expression","A.SSE.B.3","9","2","Difference of squares|x² - 4²","x² - 16 = x² - 4²|= (x+4)(x-4)","Factoring Quadratics","Public Domain","public_domain"
"Factor: x² + 2x - 15","(x+5)(x-3)","expression","A.SSE.B.3","9","3","Find factors of -15|That add to 2","Need: product = -15, sum = 2|5 × -3 = -15, 5 + -3 = 2|= (x+5)(x-3)","Factoring Quadratics","Public Domain","public_domain"
"Solve: x² - 9 = 0","x = 3 or x = -3","expression","A.REI.B.4","9","2","Factor first|Set each factor = 0","x² - 9 = 0|(x+3)(x-3) = 0|x = -3 or x = 3","Solving Quadratics","Public Domain","public_domain"
"Solve: x² + 5x + 6 = 0","x = -2 or x = -3","expression","A.REI.B.4","9","2","Factor|Set each factor = 0","(x+2)(x+3) = 0|x + 2 = 0 or x + 3 = 0|x = -2 or x = -3","Solving Quadratics","Public Domain","public_domain"
"Solve: x² - 4x = 0","x = 0 or x = 4","expression","A.REI.B.4","9","2","Factor out x|Set each factor = 0","x(x - 4) = 0|x = 0 or x - 4 = 0|x = 0 or x = 4","Solving Quadratics","Public Domain","public_domain"
"Use the quadratic formula to solve x² - 5x + 6 = 0","x = 2 or x = 3","expression","A.REI.B.4","9","3","a=1, b=-5, c=6|x = (-b ± √(b²-4ac))/2a","x = (5 ± √(25-24))/2|x = (5 ± 1)/2|x = 3 or x = 2","Solving Quadratics","Public Domain","public_domain"
"Write an equation: Three times a number minus 4 equals 11","3x - 4 = 11","expression","A.CED.A.1","9","2","Let x = the number|Translate each part","Three times a number: 3x|Minus 4: 3x - 4|Equals 11: 3x - 4 = 11","Creating Equations","Public Domain","public_domain"
"Write an equation: The sum of two consecutive integers is 25","n + (n+1) = 25","expression","A.CED.A.1","9","3","Let n = first integer|n+1 = second integer","First integer: n|Second: n + 1|Sum: n + (n+1) = 25","Creating Equations","Public Domain","public_domain"
"For y = x² - 4, find the zeros (x-intercepts)","x = 2 and x = -2","expression","F.IF.C.7a","9","2","Set y = 0|Solve x² - 4 = 0","0 = x² - 4|x² = 4|x = ±2|Zeros at x = 2 and x = -2","Graphing Quadratic Functions","Public Domain","public_domain"
"What is the vertex of y = (x-3)² + 2?","(3, 2)","coordinate","F.IF.C.7a","9","2","Vertex form: y = (x-h)² + k|Vertex is (h, k)","y = (x-3)² + 2|h = 3, k = 2|Vertex: (3, 2)","Graphing Quadratic Functions","Public Domain","public_domain"
"Does y = x² open upward or downward?","upward","expression","F.IF.C.7a","9","1","Look at coefficient of x²|Positive opens up","y = x²|Coefficient of x² is 1 (positive)|Opens upward","Graphing Quadratic Functions","Public Domain","public_domain"
"Write a function for the area of a square with side s","A(s) = s²","expression","F.BF.A.1","9","1","Area = side × side|A = s × s","Area of square = side²|A(s) = s²","Building Functions","Public Domain","public_domain"
"Write a function for the perimeter of a rectangle with length l and width 5","P(l) = 2l + 10","expression","F.BF.A.1","9","2","P = 2l + 2w|w = 5","P = 2l + 2(5)|P(l) = 2l + 10","Building Functions","Public Domain","public_domain"
